,0,1,2,3,4,5,6,7,8,9,10
kaAplTurb1_SOM,0.00735321559480173,0.0803412195934688,0.238645118293902,0.352643785404865,0.0984928357214262,0.0149020326557814,0.198458513828724,0.00233888703765412,0.00203965344885038,0.00371042985671443,0.00107430856381206
kaAscMent1_SOM,0.0108205701509223,0.0136975964225824,0.428297931805478,0.127345444382336,0.00283733929569592,0.0307691447736165,0.282295136948016,0.00724203465623253,0.00138513135830073,0.00624035774175517,0.0890693124650643
bAccGen1_SOM,0.0129336887704099,0.214528823725425,0.303652449183605,0.0238537154281906,0.0624788403865378,0.00338587137620793,0.120644785071643,0.0276444518493835,0.002161946017994,0.00200533155614795,0.226710096634455
fBarBab1_SOM,0.00238182423435419,0.0130679094540613,0.458919440745672,0.0036008655126498,0.247573901464714,0.00177663115845539,0.00411784287616511,0.00180925432756325,0.018422103861518,0.247913115845539,0.00041711051930759
fBarBar1_SOM,0.021918098510882,0.157073310423826,0.301651775486827,0.0103069873997709,0.0866494845360825,0.272721649484536,0.123514318442153,0.00816781214203895,0.00312600229095074,0.0103957617411226,0.00447479954180985
fPhoGun1_SOM,0.0661989267918743,0.0773840551935607,0.110679187428133,0.00683058643158298,0.103924108853967,0.00987964737447298,0.193542736680721,0.00243273284783442,0.262400919892679,0.164809122269069,0.00191797623610579
fPlePla1_SOM,0.197392405063291,0.025238507661559,0.130009327115257,0.0391838774150566,0.299139906728847,0.115078614257162,0.0252438374417055,0.104085942704863,0.0437501665556296,0.00660692871419054,0.0142704863424384
fSymMel2_SOM,0.00733632126210111,0.0364026532807458,0.334042309071352,0.0107486554320545,0.0149297239153819,0.036647902474005,0.00831086410899964,0.237738615991395,0.174710648978128,0.0101523843671567,0.128979921118681
fTauBub2_SOM,0.00933193277310924,0.0176926770708283,0.22890156062425,0.042609843937575,0.075484993997599,0.00432232893157263,0.00799519807923169,0.0115696278511405,0.595250300120048,0.00534033613445378,0.00150120048019208
mApoSyl1_SOM,0.140824274758253,0.174530176725575,0.161981993997999,0.110494831610537,0.195382794264755,0.00694264754918306,0.00998966322107369,0.00354718239413138,0.00837779259753251,0.185202734244748,0.00272590863621207
mCanLor1_SOM,0.0168684648684649,0.071962037962038,0.123935730935731,0.0106523476523477,0.294891108891109,0.004001665001665,0.0957495837495838,0.345370629370629,0.0260862470862471,0.00764335664335664,0.00283882783882784
mCerEla1_SOM,0.154949033977348,0.359236175882745,0.189364756828781,0.0731548967355097,0.185824117255163,0.0115023317788141,0.00367854763491006,0.00968487674883411,0.00977748167888075,0.00167854763491006,0.00114923384410393
mMelMel3_SOM,0.00210106737825217,0.10832721814543,0.0542928619079386,0.0125747164776518,0.802600733822548,0.00596831220813876,0.00491494329553035,0.00258705803869246,0.00266477651767845,0.00228452301534356,0.0016837891927952
mOrcOrc1_SOM,0.180432955303536,0.373453969312875,0.0782268178785857,0.0223338892595063,0.0112531687791861,0.0397941961307538,0.163018012008005,0.0363358905937292,0.0798679119412942,0.00970346897931955,0.00557971981320881
kaAplTurb1_GERM,0.0158865153538051,0.222988317757009,0.156805407209613,0.473102803738318,0.0253938584779706,0.0245514018691589,0.0518200934579439,0.0156255006675567,0.00666255006675567,0.0033888518024032,0.00377469959946595
kaAscMent1_GERM,0.00749266666666667,0.171784333333333,0.301607,0.327437666666667,0.0277783333333333,0.102223666666667,0.028957,0.00486466666666667,0.00611133333333333,0.007832,0.0139113333333333
bAccGen1_GERM,0.00843952015994669,0.69471676107964,0.0278740419860047,0.122124958347218,0.0135831389536821,0.0119116961012996,0.0110153282239254,0.00394735088303899,0.00940953015661446,0.00437554148617128,0.0926021326224592
fBarBab1_GERM,0.00562941961307538,0.31725350233489,0.343223148765844,0.108138425617078,0.00986624416277518,0.192488325550367,0.00301200800533689,0.00404069379586391,0.006868245496998,0.00860940627084723,0.000870580386924616
fBarBar1_GERM,0.0091512829056981,0.242791069643452,0.405821726091303,0.0699146951016328,0.00932922359213595,0.197747084305232,0.00729090303232256,0.0508450516494502,0.00108363878707098,0.00104065311562812,0.00498467177607464
fPhoGun1_GERM,0.0107581612258494,0.384028314457029,0.281807128580946,0.114715856095936,0.00351865423051299,0.1612381745503,0.0193307794803464,0.00572085276482345,0.0040016655562958,0.0124840106595603,0.00239640239840107
fPlePla1_GERM,0.0273739593739594,0.270287712287712,0.29745954045954,0.127387612387612,0.00689010989010989,0.223314019314019,0.0137236097236097,0.0136050616050616,0.00173792873792874,0.00767898767898768,0.0105414585414585
fSymMel2_GERM,0.00637633333333333,0.3444,0.323702333333333,0.139762333333333,0.00394666666666667,0.156883666666667,0.00445566666666667,0.00880466666666667,0.002722,0.00262533333333333,0.006321
fTauBub2_GERM,0.010676,0.328553,0.276998666666667,0.231394666666667,0.00396033333333333,0.0980536666666667,0.0127243333333333,0.0194973333333333,0.0125613333333333,0.00283066666666667,0.00275
mApoSyl1_GERM,0.0139970019986676,0.418276815456362,0.0732534976682212,0.366180879413724,0.00942871419053964,0.0202018654230513,0.0217271818787475,0.0032051965356429,0.00237108594270486,0.066535309793471,0.00482245169886742
mCanLor1_GERM,0.00671957319106369,0.548323107702568,0.0935085028342781,0.223073024341447,0.00562554184728243,0.00547482494164722,0.00395631877292431,0.106643881293765,0.00243814604868289,0.00219339779926642,0.00204368122707569
mCerEla1_GERM,0.0104946702198534,0.58846435709527,0.0557928047968021,0.285339773484344,0.00204963357761492,0.00677948034643571,0.0109746835443038,0.0340506329113924,0.00199400399733511,0.00296835443037975,0.00109160559626915
mMelMel3_GERM,0.00626651100733823,0.637218812541694,0.0645290193462308,0.168054703135424,0.00556904603068712,0.00693695797198132,0.00362808539026017,0.103711140760507,0.00128552368245497,0.00133989326217478,0.0014603068712475
mOrcOrc1_GERM,0.0284491836054648,0.636451849383539,0.080842052649117,0.146004998333889,0.00235254915028324,0.0504138620459847,0.0109133622125958,0.0150049983338887,0.00287537487504165,0.0114945018327224,0.0151972675774742
